Country.Region,yr,estimates,pop,,citation
Africa,2019,Population mid-year estimates (millions),1308.0642,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Northern Africa,2019,Population mid-year estimates (millions),241.7808,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Sub-Saharan Africa,2019,Population mid-year estimates (millions),1066.2834,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Eastern Africa,2019,Population mid-year estimates (millions),433.9049,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Middle Africa,2019,Population mid-year estimates (millions),174.3084,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Southern Africa,2019,Population mid-year estimates (millions),66.6299,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Western Africa,2019,Population mid-year estimates (millions),391.4402,Including Saint Helena.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Americas,2019,Population mid-year estimates (millions),1014.7219,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Northern America,2019,Population mid-year estimates (millions),366.6010,"Including Bermuda, Greenland, and Saint Pierre and Miquelon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Latin America & the Caribbean,2019,Population mid-year estimates (millions),648.1210,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Caribbean,2019,Population mid-year estimates (millions),43.3350,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Central America,2019,Population mid-year estimates (millions),177.5865,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
South America,2019,Population mid-year estimates (millions),427.1994,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Asia,2019,Population mid-year estimates (millions),4601.3712,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Central Asia,2019,Population mid-year estimates (millions),73.2121,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Eastern Asia,2019,Population mid-year estimates (millions),1672.6111,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
South-central Asia,2019,Population mid-year estimates (millions),1991.4235,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
South-eastern Asia,2019,Population mid-year estimates (millions),662.0118,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Southern Asia,2019,Population mid-year estimates (millions),1918.2114,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Western Asia,2019,Population mid-year estimates (millions),275.3248,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Europe,2019,Population mid-year estimates (millions),747.1828,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Eastern Europe,2019,Population mid-year estimates (millions),293.4449,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Northern Europe,2019,Population mid-year estimates (millions),105.7685,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
