date,state,positive
20200122,Hubei,444
20200123,Hubei,444
20200124,Hubei,549
20200125,Hubei,761
20200126,Hubei,1058
20200127,Hubei,1423
20200128,Hubei,3554
20200129,Hubei,3554
20200130,Hubei,4903
20200131,Hubei,5806
20200201,Hubei,7153
20200202,Hubei,11177
20200203,Hubei,13522
20200204,Hubei,16678
20200205,Hubei,19665
20200206,Hubei,22112
20200207,Hubei,24953
20200208,Hubei,27100
20200209,Hubei,29631
20200210,Hubei,31728
20200211,Hubei,33366
20200212,Hubei,33366
20200213,Hubei,48206
20200214,Hubei,54406
20200215,Hubei,56249
20200216,Hubei,58182
20200217,Hubei,59989
20200218,Hubei,61682
20200219,Hubei,62031
20200220,Hubei,62442
20200221,Hubei,62662
20200222,Hubei,64084
20200223,Hubei,64084
20200224,Hubei,64287
20200225,Hubei,64786
20200226,Hubei,65187
20200227,Hubei,65596
20200228,Hubei,65914
20200229,Hubei,66337
20200301,Hubei,66907
20200302,Hubei,67103
20200303,Hubei,67217
20200304,Hubei,67332
20200305,Hubei,67466
20200306,Hubei,67592
20200307,Hubei,67666
20200308,Hubei,67707
20200309,Hubei,67743
20200310,Hubei,67760
20200311,Hubei,67773
20200312,Hubei,67781
20200313,Hubei,67786
20200314,Hubei,67790
20200315,Hubei,67794
20200316,Hubei,67798
20200317,Hubei,67799
20200318,Hubei,67800
20200319,Hubei,67800
20200320,Hubei,67800
20200321,Hubei,67800
20200131,Italy,2
20200201,Italy,2
20200202,Italy,2
20200203,Italy,2
20200204,Italy,2
20200205,Italy,2
20200206,Italy,2
20200207,Italy,3
20200208,Italy,3
20200209,Italy,3
20200210,Italy,3
20200211,Italy,3
20200212,Italy,3
20200213,Italy,3
20200214,Italy,3
20200215,Italy,3
20200216,Italy,3
20200217,Italy,3
20200218,Italy,3
20200219,Italy,3
20200220,Italy,3
20200221,Italy,20
20200222,Italy,62
20200223,Italy,155
20200224,Italy,229
20200225,Italy,322
20200226,Italy,453
20200227,Italy,655
20200228,Italy,888
20200229,Italy,1128
20200301,Italy,1694
20200302,Italy,2036
20200303,Italy,2502
20200304,Italy,3089
20200305,Italy,3858
20200306,Italy,4636
20200307,Italy,5883
20200308,Italy,7375
20200309,Italy,9172
20200310,Italy,10149
20200311,Italy,12462
20200312,Italy,12462
20200313,Italy,17660
20200314,Italy,21157
20200315,Italy,24747
20200316,Italy,27980
20200317,Italy,31506
20200318,Italy,35713
20200319,Italy,41035
20200320,Italy,47021
20200321,Italy,53578
20200322,Italy,59138
20200322,Hubei,67800
20200323,Hubei,67800
20200323,Italy,63927
20200324,Hubei,67801
20200324,Italy,69176
20200325,Hubei,67801
20200325,Italy,74386
20200326,Hubei,67801
20200326,Italy,80589
20200327,Hubei,67801
20200327,Italy,86498
20200328,Hubei,67801
20200328,Italy,92472
20200329,Hubei,67801
20200329,Italy,97689
20200330,Hubei,67801
20200330,Italy,101739
20200331,Hubei,67801
20200331,Italy,105792
20200401,Hubei,67802
20200401,Italy,110574
20200402,Hubei,67802
20200402,Italy,115242
20200403,Hubei,67802
20200403,Italy,119827
20200404,Hubei,67803
20200404,Italy,124632
20200405,Hubei,67803
20200405,Italy,128948
20200406,Hubei,67803
20200407,Hubei,67803
20200406,Italy,132547
20200407,Italy,135586
20200408,Hubei,67803
20200408,Italy,139422
20200409,Hubei,67803
20200409,Italy,143626
20200410,Hubei,67803
20200410,Italy,147577
20200411,Hubei,67803
20200411,Italy,152271
