state,date,response
AL,20200316,Schools closed
AK,20200319,Schools closed
AZ,20200316,Schools closed
AR,20200317,Schools closed
CA,20200319,Schools closed
CO,20200323,Schools closed
CT,20200317,Schools closed
DE,20200316,Schools closed
DC,20200316,Schools closed
FL,20200316,Schools closed
GA,20200318,Schools closed
HI,20200323,Schools closed
IL,20200317,Schools closed
IN,20200319,Schools closed
KS,20200318,Schools closed
KY,20200316,Schools closed
LA,20200316,Schools closed
MD,20200316,Schools closed
MA,20200317,Schools closed
MI,20200316,Schools closed
MN,20200318,Schools closed
MS,20200320,Schools closed
MO,20200319,Schools closed
MT,20200316,Schools closed
NV,20200316,Schools closed
NH,20200316,Schools closed
NJ,20200318,Schools closed
NM,20200316,Schools closed
NY,20200318,Schools closed
NC,20200316,Schools closed
ND,20200316,Schools closed
OH,20200317,Schools closed
OK,20200317,Schools closed
OR,20200316,Schools closed
PA,20200316,Schools closed
PR,20200316,Schools closed
RI,20200316,Schools closed
SC,20200316,Schools closed
SD,20200316,Schools closed
TN,20200320,Schools closed
TX,20200323,Schools closed
UT,20200316,Schools closed
VT,20200318,Schools closed
VA,20200316,Schools closed
WA,20200317,Schools closed
WV,20200316,Schools closed
WI,20200318,Schools closed
CA,20200319,Lockdown
NY,20200322,Lockdown
IL,20200321,Lockdown
CT,20200323,Lockdown
NJ,20200321,Lockdown
DE,20200324,Lockdown
IN,20200323,Lockdown
LA,20200323,Lockdown
MA,20200323,Lockdown
MI,20200324,Lockdown
NV,20200317,Lockdown
NM,20200324,Lockdown
OH,20200323,Lockdown
OR,20200323,Lockdown
PA,20200319,Lockdown
RI,20200328,Lockdown
WV,20200324,Lockdown
Hubei,20200123,Lockdown
Italy,20200309,Lockdown
AK,20200328,Lockdown
WA,20200323,Lockdown
ID,20200325,Lockdown
MT,20200326,Lockdown
CO,20200326,Lockdown
KS,20200330,Lockdown
MN,20200325,Lockdown
WI,20200325,Lockdown
KY,20200326,Lockdown
VA,20200325,Lockdown
MD,20200330,Lockdown
NH,20200327,Lockdown
VT,20200325,Lockdown
HI,20200322,Lockdown
NC,20200330,Lockdown
AL,20200501,Reopen
AK,20200425,Reopen
AZ,20200516,Reopen
AR,20200506,Reopen
CO,20200501,Reopen
CT,20200521,Reopen
DE,20200601,Reopen
DC,20200529,Reopen
FL,20200505,Reopen
GA,20200501,Reopen
HI,20200601,Reopen
ID,20200501,Reopen
IN,20200505,Reopen
IA,20200508,Reopen
KS,20200503,Reopen
KY,20200520,Reopen
LA,20200516,Reopen
ME,20200601,Reopen
MD,20200516,reopen
MA,20200519,Reopen
MN,20200518,Reopen
MS,20200428,Reopen
MO,20200504,Reopen
MT,20200427,Reopen
NE,20200504,Reopen
NV,20200510,Reopen
NH,20200511,Reopen
NM,20200601,Reopen
NY,20200608,Reopen
NC,20200522,Reopen
ND,20200501,Reopen
OH,20200601,Reopen
OK,20200424,Reopen
PA,20200605,Reopen
PR,20200515,Reopen
RI,20200509,Reopen
SC,20200505,Reopen
TX,20200501,Reopen
UT,20200501,Reopen
VT,20200516,Reopen
WA,20200601,Reopen
WV,20200504,Reopen
WI,20200513,Reopen
WY,20200501,Reopen
IL,20200529,Reopen
MI,20200601,Reopen
OR,20200515,Reopen
TN,20200501,Reopen
NJ,20200615,Reopen
